# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
BLUEPRINT,GATEWAYS,5,Using Daydream Gateway,guide,Acquisition,v2/gateways/using-gateways/gateway-providers/daydream-gateway.mdx,EXISTS,622,true,true,,,
BLUEPRINT,GATEWAYS,5,Using Studio Gateway,guide,Acquisition,v2/gateways/using-gateways/gateway-providers/livepeer-studio-gateway.mdx,EXISTS,460,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,GATEWAYS,6,CLI Reference,reference,Product,v2/gateways/references/cli-commands.mdx,EXISTS,518,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,GATEWAYS,6,Configuration Flags,reference,Product,v2/gateways/references/configuration-flags.mdx,EXISTS,758,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,GATEWAYS,6,Hardware Requirements,reference,Acquisition,v2/gateways/references/go-livepeer/hardware-requirements.mdx,PLACEHOLDER,151,true,false,deprecated:miner->orchestrator,,
BLUEPRINT,GATEWAYS,6,Prometheus Metrics,reference,Retention,v2/gateways/references/go-livepeer/prometheus-metrics.mdx,EXISTS,825,true,false,,,
BLUEPRINT,GATEWAYS,6,AI API Reference,reference,Product,v2/gateways/references/api-reference/AI-API/ai.mdx,EXISTS,166,true,true,,,
BLUEPRINT,GATEWAYS,6,Gateway Troubleshooting,troubleshooting,Product,v2/gateways/run-a-gateway/monitor/monitor-and-optimise.mdx,EXISTS,313,true,true,,,
BLUEPRINT,GATEWAYS,6,Gateway FAQ,faq,Product,v2/gateways/guides-and-resources/faq.mdx,EXISTS,764,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,GPU NODES,1,GPU Nodes Portal,landing,Awareness,v2/orchestrators/orchestrators-portal.mdx,EXISTS,116,true,true,banned:just,,
BLUEPRINT,GPU NODES,2,What is an Orchestrator?,overview,Awareness,v2/orchestrators/about-orchestrators/overview.mdx,EXISTS,350,true,false,banned:simply; banned:just,,
BLUEPRINT,GPU NODES,2,Orchestrator Requirements & Economics,concept,Awareness,v2/orchestrators/about-orchestrators/economics.mdx,EXISTS,289,true,false,,,
BLUEPRINT,GPU NODES,3,Join a Pool,tutorial,Activation,v2/orchestrators/quickstart/join-a-pool.mdx,EXISTS,1061,true,true,,,
BLUEPRINT,GPU NODES,3,Orchestrator Quickstart,tutorial,Activation,v2/orchestrators/quickstart/orchestrator-setup.mdx,EXISTS,176,true,true,,,
BLUEPRINT,GPU NODES,4,Configuring AI on Your Orchestrator,how_to,Retention,v2/orchestrators/advanced-setup/ai-pipelines.mdx,EXISTS,128,true,true,,,
BLUEPRINT,GPU NODES,4,Model Curation Strategy,guide,Revenue,v2/orchestrators/advanced-setup/hosting-models.mdx,EXISTS,733,true,true,,,
BLUEPRINT,GPU NODES,4,Orchestrator Earnings & Optimisation,guide,Revenue,v2/orchestrators/earnings.mdx,EXISTS,891,true,true,,,
BLUEPRINT,GPU NODES,6,Hardware Requirements,reference,Acquisition,v2/orchestrators/setting-up-an-orchestrator/hardware-requirements.mdx,EXISTS,158,true,true,,,
BLUEPRINT,GPU NODES,6,CLI Flags Reference,reference,Product,v2/orchestrators/references/cli-flags.mdx,EXISTS,225,true,true,,,
BLUEPRINT,GPU NODES,6,Orchestrator Troubleshooting,troubleshooting,Product,,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,6,Orchestrator FAQ,faq,Product,v2/orchestrators/references/faq.mdx,EXISTS,398,true,true,,,
BLUEPRINT,LP TOKEN,1,LPT Portal,landing,Awareness,v2/lpt/token-portal.mdx,EXISTS,89,true,true,,,
BLUEPRINT,LP TOKEN,2,What is Delegation?,overview,Awareness,v2/lpt/delegation/overview.mdx,EXISTS,509,true,true,,,
BLUEPRINT,LP TOKEN,2,Delegation Economics,concept,Revenue,v2/lpt/delegation/delegation-economics.mdx,STUB,13,true,true,,,
BLUEPRINT,LP TOKEN,3,Delegate Your LPT,tutorial,Activation,v2/lpt/delegation/getting-started.mdx,EXISTS,970,true,true,banned:just,,
BLUEPRINT,LP TOKEN,4,Getting LPT,how_to,Acquisition,v2/lpt/resources/exchanges.mdx,EXISTS,434,true,true,,,
BLUEPRINT,LP TOKEN,4,Choosing an Orchestrator,guide,Acquisition,v2/lpt/delegation/about-delegators.mdx,EXISTS,608,true,true,,,
BLUEPRINT,LP TOKEN,4,Managing Your Delegation,how_to,Retention,v2/lpt/delegation/delegation-guide.mdx,EXISTS,509,true,true,,,
BLUEPRINT,LP TOKEN,5,Livepeer Governance,overview,Referral,v2/lpt/governance/overview.mdx,EXISTS,648,true,true,,,
BLUEPRINT,LP TOKEN,5,Treasury & Proposals,how_to,Referral,v2/lpt/treasury/overview.mdx,EXISTS,404,true,true,,,
BLUEPRINT,LP TOKEN,6,Delegator FAQ & Troubleshooting,faq,Product,,MISSING,0,false,false,,,
BLUEPRINT,COMMUNITY,1,Community Portal,landing,Awareness,v2/community/community-portal.mdx,EXISTS,195,true,true,,,
BLUEPRINT,COMMUNITY,2,Contributing to Livepeer,overview,Acquisition,v2/community/livepeer-contribute/contribute.mdx,STUB,20,true,true,,,
BLUEPRINT,COMMUNITY,3,Your First Contribution,tutorial,Activation,v2/developers/guides-and-tools/contribution-guide.mdx,EXISTS,1038,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,COMMUNITY,4,Community Channels & Events,guide,Retention,v2/community/livepeer-connect/events-and-community-streams.mdx,STUB,27,true,true,,,
BLUEPRINT,COMMUNITY,5,"Grants, Bounties & Programmes",reference,Referral,v2/community/livepeer-contribute/opportunities.mdx,STUB,21,true,true,,,
BLUEPRINT,COMMUNITY,6,Community FAQ,faq,Product,v2/community/faq.mdx,EXISTS,706,true,true,,,
BLUEPRINT,ABOUT,2,Protocol Overview,concept,Product,v2/about/livepeer-network/overview.mdx,EXISTS,238,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,ABOUT,2,Core Mechanisms,concept,Product,v2/about/livepeer-network/fee-flow.mdx,STUB,18,true,true,,,
BLUEPRINT,ABOUT,2,Network Architecture,concept,Product,v2/about/livepeer-network/actors.mdx,EXISTS,639,true,true,banned:simply; deprecated:broadcaster->gateway,,
BLUEPRINT,ABOUT,2,The Marketplace,concept,Revenue,v2/about/livepeer-network/marketplace.mdx,EXISTS,448,true,true,,,
BLUEPRINT,ABOUT,2,Protocol Economics,concept,Revenue,v2/about/livepeer-network/scaling.mdx,STUB,24,true,true,,,
BLUEPRINT,ABOUT,6,Glossary,glossary,Product,v2/resources/livepeer-glossary.mdx,EXISTS,1921,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,RESOURCE HUB,1,Resource Portal,landing,Product,v2/resources/resources-portal.mdx,STUB,10,true,true,,,
BLUEPRINT,RESOURCE HUB,5,Documentation Guide,guide,Product,v2/resources/documentation-guide/documentation-guide.mdx,EXISTS,807,true,true,banned:just,,
BLUEPRINT,RESOURCE HUB,5,Style Guide,guide,Referral,v2/resources/documentation-guide/style-guide.mdx,EXISTS,3322,true,true,banned:just,,
BLUEPRINT,RESOURCE HUB,5,Contributing to the Docs,guide,Referral,v2/resources/documentation-guide/contribute-to-the-docs.mdx,EXISTS,1993,true,true,banned:just,,
