# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
BLUEPRINT,GATEWAYS,6,CLI Reference,reference,Product,v2/gateways/resources/reference/technical/cli-commands.mdx,EXISTS,517,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,GATEWAYS,6,Configuration Flags,reference,Product,v2/gateways/resources/reference/technical/configuration-flags.mdx,STUB,34,true,true,,,
BLUEPRINT,GATEWAYS,6,Hardware Requirements,reference,Acquisition,v2/gateways/about/architecture.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,6,Prometheus Metrics,reference,Retention,,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,6,AI API Reference,reference,Product,,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,6,Gateway Troubleshooting,troubleshooting,Product,,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,6,Gateway FAQ,faq,Product,v2/gateways/guides-and-resources/faq.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,1,GPU Nodes Portal,landing,Awareness,v2/orchestrators/portal.mdx,PLACEHOLDER,101,true,true,,,
BLUEPRINT,GPU NODES,2,What is an Orchestrator?,overview,Awareness,v2/orchestrators/concepts/overview.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,2,Orchestrator Requirements & Economics,concept,Awareness,v2/orchestrators/concepts/economics.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,3,Join a Pool,tutorial,Activation,v2/orchestrators/guides/setup-paths/join-a-pool.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,3,Orchestrator Quickstart,tutorial,Activation,v2/orchestrators/quickstart/guide.mdx,PLACEHOLDER,257,true,true,banned:just,,
BLUEPRINT,GPU NODES,4,Configuring AI on Your Orchestrator,how_to,Retention,v2/orchestrators/guides/workloads-and-ai/ai-workloads-guide.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,4,Model Curation Strategy,guide,Revenue,,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,4,Orchestrator Earnings & Optimisation,guide,Revenue,v2/orchestrators/guides/staking-and-rewards/earnings.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,6,Hardware Requirements,reference,Acquisition,v2/orchestrators/setup/prepare.mdx,EXISTS,158,true,true,,,
BLUEPRINT,GPU NODES,6,CLI Flags Reference,reference,Product,v2/orchestrators/resources/cli-flags.mdx,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,6,Orchestrator Troubleshooting,troubleshooting,Product,,MISSING,0,false,false,,,
BLUEPRINT,GPU NODES,6,Orchestrator FAQ,faq,Product,v2/orchestrators/resources/faq.mdx,MISSING,0,false,false,,,
BLUEPRINT,DELEGATORS,1,LPT Portal,landing,Awareness,,MISSING,0,false,false,,,
BLUEPRINT,DELEGATORS,2,What is Delegation?,overview,Awareness,v2/delegators/delegation/overview.mdx,EXISTS,298,true,true,,,
BLUEPRINT,DELEGATORS,2,Delegation Economics,concept,Revenue,v2/delegators/delegation/delegation-economics.mdx,EXISTS,558,true,true,,,
BLUEPRINT,DELEGATORS,3,Delegate Your LPT,tutorial,Activation,v2/delegators/delegation/delegate-your-lpt.mdx,EXISTS,380,true,true,banned:just,,
BLUEPRINT,DELEGATORS,4,Getting LPT,how_to,Acquisition,v2/delegators/delegation/bridge-lpt-to-arbitrum.mdx,STUB,0,true,true,,,
BLUEPRINT,DELEGATORS,4,Choosing an Orchestrator,guide,Acquisition,v2/delegators/delegation/choose-an-orchestrator.mdx,EXISTS,639,true,true,banned:simply; banned:just,,
BLUEPRINT,DELEGATORS,4,Managing Your Delegation,how_to,Retention,v2/delegators/delegation/manage-your-delegation.mdx,EXISTS,540,true,true,,,
BLUEPRINT,DELEGATORS,5,Livepeer Governance,overview,Referral,v2/delegators/guides/governance/overview.mdx,EXISTS,639,true,true,,,
