as_of_date,file_path,route_path,cohort,page_kind,doc_type_primary,accuracy_2026_status,accuracy_2026_confidence,accuracy_2026_score,clarity_score,verifiability_score,docs_framework_fit_score,rfp_page_compliance_score,completeness_score,actionability_score,audience_fit_score,machine_readability_score,maintenance_quality_score,human_usefulness_score,agent_usefulness_score,human_band,agent_band,claims_extracted_count,verification_sources_count,source_types_used,source_freshness_oldest_date,source_freshness_latest_date,flags_human,verification_notes
2026-02-23,v2/developers/ai-pipelines/overview.mdx,/v2/developers/ai-pipelines/overview,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.6,3.5,4.2,5,4,3.5,4.4,2,68,61,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/developers/developer-path.mdx,/v2/developers/developer-path,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.2,3.5,3.7,5,1.3,3.5,4.4,2,60,56,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/developers/livepeer-real-time-video/video-streaming-on-livepeer/video-streaming-101.mdx,/v2/developers/livepeer-real-time-video/video-streaming-on-livepeer/video-streaming-101,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.2,3.5,4.3,5,4.2,3.5,4.4,2,68,61,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/gateways/run-a-gateway/gateway-operator-opportunities.mdx,/v2/gateways/run-a-gateway/gateway-operator-opportunities,public,content_explanation,explanation,stale_risk,0.15,1,4.2,0.2,3.5,3.7,5,1.3,3.5,4.4,2,57,53,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/gateways/using-gateways/choosing-a-gateway.mdx,/v2/gateways/using-gateways/choosing-a-gateway,public,how_to,how_to,provisional,0.15,1.9,4.2,0.4,3.7,4,5,2.7,3.5,4.4,2,65,59,usable_needs_work,usable_needs_work,10,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/10 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/gateways/using-gateways/gateway-providers/cloud-spe-gateway.mdx,/v2/gateways/using-gateways/gateway-providers/cloud-spe-gateway,public,content_explanation,explanation,provisional,0.15,1.9,4.2,1.4,3.5,3.7,5,1.2,3.5,4.4,2,62,60,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/gateways/using-gateways/gateway-providers/daydream-gateway.mdx,/v2/gateways/using-gateways/gateway-providers/daydream-gateway,public,content_explanation,explanation,provisional,0.15,1.9,4.2,1.4,3.5,4.1,5,3.6,3.5,4.4,2,69,63,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/gateways/using-gateways/gateway-providers/livepeer-studio-gateway.mdx,/v2/gateways/using-gateways/gateway-providers/livepeer-studio-gateway,public,content_explanation,explanation,stale_risk,0.15,1,4.2,1.4,3.5,4.3,5,4.5,3.5,4.4,2,68,62,usable_needs_work,usable_needs_work,6,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/6 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/lpt/delegation/getting-started.mdx,/v2/lpt/delegation/getting-started,public,how_to,how_to,provisional,0.15,1.9,4.2,0.6,4.7,4.2,5,4,3.5,4.4,2,70,64,good,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/orchestrators/earnings.mdx,/v2/orchestrators/earnings,public,content_explanation,explanation,stale_risk,0.15,1,4.2,0.6,3.5,4.2,5,4,3.5,4.4,2,65,58,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; placeholder preview; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
